GENUS,SPEC,DATE,SEX,LAT_O,LONG_O,ERROR_O,LAT_HR,LONG_HR,ERROR_HR
LASIURUS,CINEREUS,12/5/1961,U,32.302778,-64.755833,50,32.301392,-64.761196,1
LASIURUS,CINEREUS,11/20/1969,U,32.299444,-64.9,50,32.301725,-64.786504,1
LASIURUS,CINEREUS,11/4/1958,U,32.308611,-64.755833,5,32.308492,-64.754929,1
LASIURUS,CINEREUS,8/7/1979,F,51.833333,-113.233333,10,51.843389,-113.019721,1
LASIURUS,CINEREUS,8/29/2003,F,55.141111,-112.493611,10,55.013445, -112.733827,1
LASIURUS,CINEREUS,8/29/1974,F,49.7,-112.833333,10,49.87673,-112.78012,1
LASIURUS,CINEREUS,7/5/1983,F,53.716667,-113.2,5,53.951177,-113.10923,1
LASIURUS,CINEREUS,7/14/2008,F,51.083333,-114.083333,3,51.042183,-114.070371,3
LASIURUS,CINEREUS,7/19/2008,F,51.083333,-114.083333,3,51.042183,-114.070371,3
LASIURUS,CINEREUS,7/14/2005,F,51.083333,-114.083333,3,51.042183,-114.070371,3
LASIURUS,CINEREUS,8/9/1974,M,53.55,-113.5,3,53.55,-113.5,3
LASIURUS,CINEREUS,8/16/1994,M,53.55,-113.5,3,53.55,-113.5,3
LASIURUS,CINEREUS,8/17/1990,U,53.55,-113.5,3,53.55,-113.5,3
LASIURUS,CINEREUS,8/22/1977,M,52.266667,-113.8,3,52.267914,-113.811886,3
LASIURUS,CINEREUS,8/28/1974,U,53.55,-113.5,3,53.55,-113.5,3
LASIURUS,CINEREUS,8/29/1976,F,53.55,-113.5,3,53.55,-113.5,3
LASIURUS,CINEREUS,9/27/1984,M,51.083333,-114.083333,3,51.083333,-114.083333,3
LASIURUS,CINEREUS,7/10/1975,M,51.466667,-112.7,1,51.462956,-112.708225,1
LASIURUS,CINEREUS,7/13/1977,F,54.116111,-111.919444,1,54.116111,-111.919444,1
LASIURUS,CINEREUS,7/31/1957,F,49.7,-112.833333,1,53.882482,-110.675238,1
LASIURUS,CINEREUS,8/7/1974,F,54.251111,-111.151389,1,54.251141,-111.157608,1
LASIURUS,CINEREUS,8/7/1964,M,50.66372,-114.278005,1,50.66372,-114.278005,1
LASIURUS,CINEREUS,8/9/1974,F,51.783333,-114.1,1,51.79267,-114.112536,1
LASIURUS,CINEREUS,8/16/1977,F,51.783333,-114.1,1,51.79267,-114.112536,1
LASIURUS,CINEREUS,8/16/1976,F,51.783333,-114.1,1,51.79267,-114.112536,1
LASIURUS,CINEREUS,8/19/1975,M,49.7,-112.833333,1,49.700299,-112.814497,1
LASIURUS,CINEREUS,8/20/1974,F,50.75,-111.183333,1,50.838739,-111.175172,1
LASIURUS,CINEREUS,8/20/1975,F,49.7,-112.833333,1,49.700299,-112.814497,1
LASIURUS,CINEREUS,8/21/1939,U,54.026389,-111.693056,1,53.006727,-112.826031,3
LASIURUS,CINEREUS,8/21/1939,U,54.026389,-111.693056,1,53.006727,-112.826031,3
LASIURUS,CINEREUS,8/21/1977,F,49.7,-112.833333,1,49.700299,-112.814497,1
LASIURUS,CINEREUS,8/26/1977,U,50.483333,-110.016667,1,50.479337,-110.030921,1
